N.,DESCRIPCION,Precio + IVA,,,,,,,,,,,,,,,,,,,,,,
1,"TENAZA M/ TOLSEN P/ ELECTRICISTA D/ 6"" ",10000,73.47,,,,,,,,,,,,,,,,,,,,,,
2,"TENAZA M/ TOLSEN P/ ELECTRICISTA D/ 7"" ",10001,86.01,,,,,,,,,,,,,,,,,,,,,,
3,"TENAZA M/ TOLSEN P/ ELECTRICISTA D/ 8"" ",10002,93.18,,,,,,,,,,,,,,,,,,,,,,
4,"CORTADORA M/ TOLSEN DIAGONAL D/ 6"" ",10003,72.87,,,,,,,,,,,,,,,,,,,,,,
5,"TENAZA M/ TOLSEN T/ AJUSTABLE T/ INDUSTRIAL D/ 250MM - 10"" ",10029,135.00,,,,,,,,,,,,,,,,,,,,,,
6,"TENAZA M/ TOLSEN T/ PERRA T/ INDUSTRIAL D/ 10"" T/ RECTA ",10048,148.73,,,,,,,,,,,,,,,,,,,,,,
7,"TENAZA M/ TOLSEN T/ PERRA P/ SOLDADOR D/ 11"" ",10056,222.80,,,,,,,,,,,,,,,,,,,,,,
8,"TENAZA M/ TOLSEN P/ ANILLOS D/ SEGURIDAD T/ RECTA - INTERNA D/ 180MM - 7"" ",10077,72.87,,,,,,,,,,,,,,,,,,,,,,
9,"TENAZA M/ TOLSEN P/ ANILLOS D/ SEGURIDAD T/ CURVA - EXTERNA D/ 180MM - 7"" ",10092,72.87,,,,,,,,,,,,,,,,,,,,,,
10,"PRENSA M/ TOLSEN D/ BANCO GIRATORIA D/ 4"" ",10103,734.11,,,,,,,,,,,,,,,,,,,,,,
11,"PRENSA M/ TOLSEN D/ BANCO GIRATORIA D/ 6"" ",10105,"1,357.72",,,,,,,,,,,,,,,,,,,,,,
12,"PRENSA M/ TOLSEN T/ SARGENTO D/ 3"" ",10112,73.47,,,,,,,,,,,,,,,,,,,,,,
13,"PRENSA M/ TOLSEN P/ MADERA T/ PISTOLA D/ 12"" ",10204,100.95,,,,,,,,,,,,,,,,,,,,,,
14,"PRENSA M/ TOLSEN P/ MADERA T/ PISTOLA D/ 18"" ",10206,124.24,,,,,,,,,,,,,,,,,,,,,,
15,"PRENSA M/ TOLSEN P/ MADERA T/ PISTOLA D/ 24"" ",10207,145.15,,,,,,,,,,,,,,,,,,,,,,
16,"LLAVE M/ TOLSEN P/ TUBERIA D/ 14"" ",10234,172.63,,,,,,,,,,,,,,,,,,,,,,
17,"LLAVE M/ TOLSEN P/ TUBERIA D/ 18"" ",10235,236.54,,,,,,,,,,,,,,,,,,,,,,
18,"LLAVE M/ TOLSEN P/ TUBERIA D/ 24"" ",10236,341.07,,,,,,,,,,,,,,,,,,,,,,
19,"LLAVE M/ TOLSEN P/ TUBERIA D/ 36"" ",10237,625.40,,,,,,,,,,,,,,,,,,,,,,
20,LLAVE MIXTA M/ TOLSEN # 10MM ",15018,25.68,,,,,,,,,,,,,,,,,,,,,,
21,LLAVE MIXTA M/ TOLSEN # 11MM ",15019,27.48,,,,,,,,,,,,,,,,,,,,,,
22,LLAVE MIXTA M/ TOLSEN # 12MM ",15020,28.67,,,,,,,,,,,,,,,,,,,,,,
23,LLAVE MIXTA M/ TOLSEN # 17MM ",15025,40.02,,,,,,,,,,,,,,,,,,,,,,
24,LLAVE M/ TOLSEN T/ DOBLE CORONA # 8MM - 9MM ",15064,26.28,,,,,,,,,,,,,,,,,,,,,,
25,LLAVE M/ TOLSEN T/ DOBLE CORONA # 10MM - 11MM ",15065,28.67,,,,,,,,,,,,,,,,,,,,,,
26,LLAVE M/ TOLSEN T/ DOBLE CORONA # 12MM - 13MM ",15066,32.26,,,,,,,,,,,,,,,,,,,,,,
27,LLAVE M/ TOLSEN T/ DOBLE CORONA # 14MM - 15MM ",15067,41.22,,,,,,,,,,,,,,,,,,,,,,
28,"MANERAL M/ TOLSEN T/ CORREDIZO INDUSTRIAL D/ 1/2"" ",15131",103.34,,,,,,,,,,,,,,,,,,,,,,
